,TeamName,Link,Country,ID,Name,City,iso,lat,lon
154,Chelsea F.C.,/wiki/Chelsea_F.C.,Great Britain,21,Chelsea,London,GB,51.5073219,-0.1276474
155,Leicester City F.C.,/wiki/Leicester_City_F.C.,Great Britain,41,Leicester City,Leicester,GB,52.6362,-1.1331969
156,West Ham United F.C.,/wiki/West_Ham_United_F.C.,Great Britain,85,West Ham United,London,GB,51.5073219,-0.1276474
157,Tottenham Hotspur F.C.,/wiki/Tottenham_Hotspur_F.C.,Great Britain,80,Tottenham Hotspur,London,GB,51.5073219,-0.1276474
158,Arsenal F.C.,/wiki/Arsenal_F.C.,Great Britain,1,Arsenal,London,GB,51.5073219,-0.1276474
159,Leeds United F.C.,/wiki/Leeds_United_F.C.,Great Britain,40,Leeds United,Leeds,GB,53.7974185,-1.5437941
160,Everton F.C.,/wiki/Everton_F.C.,Great Britain,31,Everton,Liverpool,GB,53.4071991,-2.99168
161,Aston Villa F.C.,/wiki/Aston_Villa_F.C.,Great Britain,2,Aston Villa,Birmingham,GB,52.4796992,-1.9026911
162,Newcastle United F.C.,/wiki/Newcastle_United_F.C.,Great Britain,52,Newcastle United,Newcastle upon Tyne,GB,54.9738474,-1.6131572
163,Wolverhampton Wanderers F.C.,/wiki/Wolverhampton_Wanderers_F.C.,Great Britain,88,Wolverhampton Wanderers,Wolverhampton,GB,52.5847651,-2.127567
164,Crystal Palace F.C.,/wiki/Crystal_Palace_F.C.,Great Britain,27,Crystal Palace,London,GB,51.5073219,-0.1276474
165,Southampton F.C.,/wiki/Southampton_F.C.,Great Britain,72,Southampton,Southampton,GB,50.9025349,-1.404189
167,Burnley F.C.,/wiki/Burnley_F.C.,Great Britain,15,Burnley,Burnley,GB,53.7907262,-2.2439196
168,Fulham F.C.,/wiki/Fulham_F.C.,Great Britain,32,Fulham,London,GB,51.5073219,-0.1276474
169,West Bromwich Albion F.C.,/wiki/West_Bromwich_Albion_F.C.,Great Britain,84,West Bromwich Albion,West Bromwich,GB,52.5186579,-1.9923114
170,Sheffield United F.C.,/wiki/Sheffield_United_F.C.,Great Britain,70,Sheffield United,Sheffield,GB,53.3806626,-1.4702278
171,FCI Levadia Tallinn,/wiki/FCI_Levadia_Tallinn,Estonia,980,Levadia Tallinn,Tallinn,EE,59.4372155,24.7453688
172,FC Flora,/wiki/FC_Flora,Estonia,982,Flora,Tallinn,EE,59.4372155,24.7453688
174,Nõmme Kalju FC,/wiki/N%C3%B5mme_Kalju_FC,Estonia,1272,Nõmme Kalju,Tallinn,EE,59.4372155,24.7453688
176,JK Narva Trans,/wiki/JK_Narva_Trans,Estonia,981,Trans Narva,Narva,EE,59.3766729,28.1921457
177,FC Kuressaare,/wiki/FC_Kuressaare,Estonia,1176,Kuressaare,Kuressaare,EE,58.2527693,22.4849207
178,Viljandi JK Tulevik,/wiki/Viljandi_JK_Tulevik,Estonia,988,Viljandi Tulevik,Viljandi,EE,58.36454,25.5878074
179,Tartu JK Tammeka,/wiki/Tartu_JK_Tammeka,Estonia,985,Tartu Tammeka,Tartu,EE,58.3801207,26.72245
180,Pärnu JK Vaprus,/wiki/P%C3%A4rnu_JK_Vaprus,Estonia,986,Pärnu JK Vaprus,Pärnu,EE,58.3835136,24.5081751
181,Klaksvíkar Ítróttarfelag,/wiki/Klaksv%C3%ADkar_%C3%8Dtr%C3%B3ttarfelag,Faroe Islands,4722,Skála Ítróttarfelag,Skáli,FO,62.1514323,-6.7755862
182,Havnar Bóltfelag,/wiki/Havnar_B%C3%B3ltfelag,Faroe Islands,3192,Argja Bóltfelag,Argir,FO,61.9971969,-6.7774441
183,Víkingur Gøta,/wiki/V%C3%ADkingur_G%C3%B8ta,Faroe Islands,2729,Víkingur Gøta,Leirvík,FO,62.2095775,-6.7077974
184,NSÍ Runavík,/wiki/NS%C3%8D_Runav%C3%ADk,Faroe Islands,3515,NSÍ Runavík,Runavík,FO,62.1075979,-6.7210814
185,EB/Streymur,/wiki/EB/Streymur,Faroe Islands,2803,EB/Streymur,Streymnes,FO,62.1914142,-7.0316394
186,Ítróttarfelag Fuglafjarðar,/wiki/%C3%8Dtr%C3%B3ttarfelag_Fuglafjar%C3%B0ar,Faroe Islands,4722,Skála Ítróttarfelag,Skáli,FO,62.1514323,-6.7755862
188,Kuopion Palloseura,/wiki/Kuopion_Palloseura,Finland,2397,Oulun Palloseura,Oulu,FI,65.0118734,25.4716809
190,FC Inter Turku,/wiki/FC_Inter_Turku,Finland,701,Inter Turku,Turku,FI,60.4517531,22.2670522
192,HIFK Fotboll,/wiki/HIFK_Fotboll,Finland,3136,HIFK,Helsinki,FI,60.1674881,24.9427473
193,Ilves (football),/wiki/Ilves_(football),Finland,3137,FC Ilves,Tampere,FI,61.4980214,23.7603118
194,FC Lahti,/wiki/FC_Lahti,Finland,718,FC Lahti,Lahti,FI,60.9826014,25.6613764
195,FC Honka,/wiki/FC_Honka,Finland,700,FC Honka,Tapiola,FI,60.17664,24.8031685
196,FC Haka,/wiki/FC_Haka,Finland,544,FC Haka,Valkeakoski,FI,61.2637921,24.0301278
197,IFK Mariehamn,/wiki/IFK_Mariehamn,Finland,702,IFK Mariehamn,Mariehamn,FI,60.102423,19.94126
198,AC Oulu,/wiki/AC_Oulu,Finland,1150,AC Oulu,Oulu,FI,65.0118734,25.4716809
199,Kotkan Työväen Palloilijat,/wiki/Kotkan_Ty%C3%B6v%C3%A4en_Palloilijat,Finland,5760,Oulun Työväen Palloilijat,Oulu,FI,65.0118734,25.4716809
200,Lille OSC,/wiki/Lille_OSC,France,432,Lille OSC,Lille,FR,50.6365654,3.0635282
201,Paris Saint-Germain F.C.,/wiki/Paris_Saint-Germain_F.C.,France,338,Paris Saint-Germain,Paris,FR,48.8588897,2.3200410217200766
202,AS Monaco FC,/wiki/AS_Monaco_FC,France,332,AS Monaco,Monaco,FR,47.9965406,5.5307301
203,Olympique Lyonnais,/wiki/Olympique_Lyonnais,France,329,Olympique Lyonnais,Lyon,FR,45.7578137,4.8320114
204,Olympique de Marseille,/wiki/Olympique_de_Marseille,France,330,Olympique Marseille,Marseille,FR,43.2961743,5.3699525
205,Stade Rennais F.C.,/wiki/Stade_Rennais_F.C.,France,340,Stade Rennais,Rennes,FR,48.1113387,-1.6800198
206,RC Lens,/wiki/RC_Lens,France,327,RC Lens,Lens,FR,50.4291723,2.8319805
207,Montpellier HSC,/wiki/Montpellier_HSC,France,333,Montpellier HSC,Montpellier,FR,43.6112422,3.8767337
208,OGC Nice,/wiki/OGC_Nice,France,336,OGC Nice,Nice,FR,43.7009358,7.2683912
209,FC Metz,/wiki/FC_Metz,France,331,FC Metz,Metz,FR,49.1196964,6.1763552
210,AS Saint-Étienne,/wiki/AS_Saint-%C3%89tienne,France,341,AS Saint-Etienne,Saint-Etienne,FR,45.4401467,4.3873058
211,FC Girondins de Bordeaux,/wiki/FC_Girondins_de_Bordeaux,France,313,Girondins Bordeaux,Bordeaux,FR,44.841225,-0.5800364
212,Angers SCO,/wiki/Angers_SCO,France,310,Angers SCO,Angers,FR,47.4739884,-0.5515588
213,Stade de Reims,/wiki/Stade_de_Reims,France,339,Stade de Reims,Reims,FR,49.2577886,4.031926
214,RC Strasbourg Alsace,/wiki/RC_Strasbourg_Alsace,France,344,RC Strasbourg Alsace,Strasbourg,FR,48.584614,7.7507127
215,FC Lorient,/wiki/FC_Lorient,France,328,FC Lorient,Lorient,FR,47.7477336,-3.3660907
216,FC Nantes,/wiki/FC_Nantes,France,335,FC Nantes,Nantes,FR,47.2186371,-1.5541362
217,Nîmes Olympique,/wiki/N%C3%AEmes_Olympique,France,1290,Nîmes Olympique,Nimes,FR,43.8374249,4.3600687
218,Dijon FCO,/wiki/Dijon_FCO,France,319,Dijon FCO,Dijon,FR,47.3215806,5.0414701
219,FC Dinamo Batumi,/wiki/FC_Dinamo_Batumi,Georgia,2271,Dinamo Batumi,Batumi,GE,41.6509502,41.6360085
220,FC Dinamo Tbilisi,/wiki/FC_Dinamo_Tbilisi,Georgia,1338,Dinamo Tbilisi,Tbilisi,GE,41.6934591,44.8014495
221,FC Dila Gori,/wiki/FC_Dila_Gori,Georgia,1922,Dila Gori,Gori,GE,41.9818469,44.1117811
222,FC Saburtalo Tbilisi,/wiki/FC_Saburtalo_Tbilisi,Georgia,3868,FC Saburtalo Tbilisi,Tbilisi,GE,41.6934591,44.8014495
223,FC Locomotive Tbilisi,/wiki/FC_Locomotive_Tbilisi,Georgia,3869,Locomotive Tbilisi,Tbilisi,GE,41.6934591,44.8014495
224,FC Telavi,/wiki/FC_Telavi,Georgia,5634,FC Telavi,Telavi,GE,41.918292,45.4746493
226,FC Torpedo Kutaisi,/wiki/FC_Torpedo_Kutaisi,Georgia,1836,Torpedo Kutaisi,Kutaisi,GE,42.2716078,42.7054475
227,FC Shukura Kobuleti,/wiki/FC_Shukura_Kobuleti,Georgia,3264,Shukura Kobuleti,Kobuleti,GE,41.8113601,41.7793202
228,FC Samtredia,/wiki/FC_Samtredia,Georgia,3866,FC Samtredia,Samtredia,GE,42.1645985,42.3460344
230,RB Leipzig,/wiki/RB_Leipzig,Germany,1657,RB Leipzig,Leipzig,DE,51.3406321,12.3747329
231,Borussia Dortmund,/wiki/Borussia_Dortmund,Germany,392,Borussia Dortmund,Dortmund,DE,51.5142273,7.4652789
232,VfL Wolfsburg,/wiki/VfL_Wolfsburg,Germany,419,VfL Wolfsburg,Wolfsburg,DE,52.4205588,10.7861682
233,Eintracht Frankfurt,/wiki/Eintracht_Frankfurt,Germany,395,Eintracht Frankfurt,Frankfurt,DE,50.1106444,8.6820917
234,Borussia Mönchengladbach,/wiki/Borussia_M%C3%B6nchengladbach,Germany,393,Borussia Mönchengladbach,Mönchengladbach,DE,51.1946983,6.4353641
235,VfB Stuttgart,/wiki/VfB_Stuttgart,Germany,417,VfB Stuttgart,Stuttgart,DE,48.7784485,9.1800132
236,SC Freiburg,/wiki/SC_Freiburg,Germany,411,SC Freiburg,Freiburg,DE,47.9960901,7.8494005
237,FC Augsburg,/wiki/FC_Augsburg,Germany,750,FC Augsburg,Augsburg,DE,48.3668041,10.8986971
238,Hertha BSC,/wiki/Hertha_BSC,Germany,404,Hertha BSC,Berlin,DE,52.5170365,13.3888599
239,Arminia Bielefeld,/wiki/Arminia_Bielefeld,Germany,389,Arminia Bielefeld,Bielefeld,DE,52.0191005,8.531007
240,SV Werder Bremen,/wiki/SV_Werder_Bremen,Germany,414,Werder Bremen,Bremen,DE,53.0758196,8.8071646
241,Europa F.C.,/wiki/Europa_F.C.,Gibraltar,3746,Europa FC,Gibraltar,GI,36.140807,-5.3541295
242,St Joseph's F.C.,/wiki/St_Joseph%27s_F.C.,Gibraltar,5025,St Joseph's FC,Gibraltar,GI,36.140807,-5.3541295
243,Lincoln Red Imps F.C.,/wiki/Lincoln_Red_Imps_F.C.,Gibraltar,3377,Lincoln Red Imps,Gibraltar,GI,36.140807,-5.3541295
245,F.C. Bruno's Magpies,/wiki/F.C._Bruno%27s_Magpies,Gibraltar,5489,Bruno's Magpies,Gibraltar,GI,36.140807,-5.3541295
247,Mons Calpe S.C.,/wiki/Mons_Calpe_S.C.,Gibraltar,5333,Mons Calpe SC,Gibraltar,GI,36.140807,-5.3541295
251,Olympiacos F.C.,/wiki/Olympiacos_F.C.,Greece,373,Olympiacos,Piraeus,GR,37.9431594,23.6470593
252,PAOK FC,/wiki/PAOK_FC,Greece,491,PAOK,Thessaloniki,GR,40.6403167,22.9352716
253,AEK Athens F.C.,/wiki/AEK_Athens_F.C.,Greece,372,AEK Athens,Athens,GR,37.9839412,23.7283052
254,Aris Thessaloniki F.C.,/wiki/Aris_Thessaloniki_F.C.,Greece,762,Aris Thessaloniki,Thessaloniki,GR,40.6403167,22.9352716
255,Panathinaikos F.C.,/wiki/Panathinaikos_F.C.,Greece,374,Panathinaikos,Athens,GR,37.9839412,23.7283052
256,PAS Giannina F.C.,/wiki/PAS_Giannina_F.C.,Greece,1446,PAS Giannina,Ioannina,GR,39.6639818,20.8522784
257,OFI Crete F.C.,/wiki/OFI_Crete_F.C.,Greece,497,OFI Crete,Heraklion,GR,35.3400127,25.1343475
258,Asteras Tripolis F.C.,/wiki/Asteras_Tripolis_F.C.,Greece,1227,Asteras Tripolis,Tripoli,GR,37.5102911,22.3724241
259,Panetolikos F.C.,/wiki/Panetolikos_F.C.,Greece,1717,Panetolikos,Agrinio,GR,38.6248275,21.4094206
260,Volos F.C.,/wiki/Volos_F.C.,Greece,5138,Volos NFC,Volos,GR,39.3624833,22.9401864
261,Ionikos F.C.,/wiki/Ionikos_F.C.,Greece,494,Ionikos,Piraeus,GR,37.9431594,23.6470593
262,Atromitos F.C.,/wiki/Atromitos_F.C.,Greece,575,Atromitos,Peristeri,GR,38.0128111,23.6955137
263,Apollon Smyrnis F.C.,/wiki/Apollon_Smyrnis_F.C.,Greece,2217,Apollon Smyrnis,Athens,GR,37.9839412,23.7283052
264,Ferencvárosi TC,/wiki/Ferencv%C3%A1rosi_TC,Hungary,1416,Ferencvárosi TC,Budapest,HU,47.4979937,19.0403594
265,Puskás Akadémia FC,/wiki/Pusk%C3%A1s_Akad%C3%A9mia_FC,Hungary,2592,Puskás Akadémia FC,Felcsút,HU,47.4545349,18.5862386
266,Fehérvár FC,/wiki/Feh%C3%A9rv%C3%A1r_FC,Hungary,1015,Fehérvár FC,Szekesfehervar,HU,47.1910169,18.410811
267,Paksi FC,/wiki/Paksi_FC,Hungary,1018,Paksi FC,Paks,HU,46.6229468,18.8589364
268,Kisvárda FC,/wiki/Kisv%C3%A1rda_FC,Hungary,3114,Kisvárda FC,Kisvárda,HU,48.2257593,22.0784247
269,Újpest FC,/wiki/%C3%9Ajpest_FC,Hungary,1014,Újpest FC,Budapest,HU,47.4979937,19.0403594
270,MTK Budapest FC,/wiki/MTK_Budapest_FC,Hungary,1010,MTK Budapest,Budapest,HU,47.4979937,19.0403594
272,Zalaegerszegi TE,/wiki/Zalaegerszegi_TE,Hungary,1013,Zalaegerszegi TE,Zalaegerszeg,HU,46.8415803,16.8456316
273,Budapest Honvéd FC,/wiki/Budapest_Honv%C3%A9d_FC,Hungary,1023,Budapest Honvéd,Budapest ,HU,47.4979937,19.0403594
274,Diósgyőri VTK,/wiki/Di%C3%B3sgy%C5%91ri_VTK,Hungary,1016,Diósgyőri VTK,Miskolc,HU,48.1030643,20.7900429
275,Budafoki MTE,/wiki/Budafoki_MTE,Hungary,4942,Budafoki MTE,Budapest,HU,47.4979937,19.0403594
276,Fimleikafélag Hafnarfjarðar,/wiki/Fimleikaf%C3%A9lag_Hafnarfjar%C3%B0ar,Iceland,1139,Fimleikafélag Hafnarfjarðar,Hafnarfjörður,IS,64.0695354,-21.9575664
277,Stjarnan men's football,/wiki/Stjarnan_men%27s_football,Iceland,1528,Stjarnan,Garðabær,IS,64.0880255,-21.9193961
278,Knattspyrnufélag Akureyrar,/wiki/Knattspyrnuf%C3%A9lag_Akureyrar,Iceland,1991,KA Akureyrar,Akureyri,IS,65.68390355,-18.11217559813441
279,Valur (club),/wiki/Valur_(club),Iceland,1140,Valur,Reykjavík,IS,64.145981,-21.9422367
280,Knattspyrnufélagið Víkingur,/wiki/Knattspyrnuf%C3%A9lagi%C3%B0_V%C3%ADkingur,Iceland,1142,Víkingur,Reykjavík,IS,64.145981,-21.9422367
281,Fylkir,/wiki/Fylkir,Iceland,1143,Fylkir,Reykjavík,IS,64.145981,-21.9422367
282,Handknattleiksfélag Kópavogs,/wiki/Handknattleiksf%C3%A9lag_K%C3%B3pavogs,Iceland,1144,HK Kópavogs,Kópavogur,IS,64.0280441,-21.686270442142405
283,Íþróttabandalag Akraness,/wiki/%C3%8D%C3%BEr%C3%B3ttabandalag_Akraness,Iceland,760,ÍA Akranes,Akranes,IS,64.3170806,-22.0833512
284,Grindavík men's football,/wiki/Grindav%C3%ADk_men%27s_football,Iceland,1351,Grindavík,Grindavík,IS,63.844239,-22.4317498
286,Maccabi Haifa F.C.,/wiki/Maccabi_Haifa_F.C.,Israel,474,Maccabi Haifa,Haifa,IL,32.8191218,34.9983856
287,Maccabi Tel Aviv F.C.,/wiki/Maccabi_Tel_Aviv_F.C.,Israel,605,Maccabi Tel Aviv,Tel Aviv,IL,32.0852997,34.7818064
289,Hapoel Jerusalem F.C.,/wiki/Hapoel_Jerusalem_F.C.,Israel,2398,Hapoel Jerusalem,Jerusalem,IL,31.79592425,35.21198075969497
290,Hapoel Hadera F.C.,/wiki/Hapoel_Hadera_F.C.,Israel,4897,Hapoel Hadera,Hadera,IL,32.43732495,34.91785560662627
291,F.C. Ashdod,/wiki/F.C._Ashdod,Israel,607,FC Ashdod,Ashdod,IL,31.7977314,34.6529922
293,Maccabi Bnei Reineh F.C.,/wiki/Maccabi_Bnei_Reineh_F.C.,Israel,5917,Maccabi Bnei Reineh,Reineh,IL,32.721222,35.317534762343584
294,Hapoel Tel Aviv F.C.,/wiki/Hapoel_Tel_Aviv_F.C.,Israel,601,Hapoel Tel Aviv,Tel Aviv,IL,32.0852997,34.7818064
295,Beitar Jerusalem F.C.,/wiki/Beitar_Jerusalem_F.C.,Israel,492,Beitar Jerusalem,Jerusalem,IL,31.79592425,35.21198075969497
296,Hapoel Haifa F.C.,/wiki/Hapoel_Haifa_F.C.,Israel,1492,Hapoel Haifa,Haifa,IL,32.8191218,34.9983856
297,Maccabi Netanya F.C.,/wiki/Maccabi_Netanya_F.C.,Israel,608,Maccabi Netanya,Netanya,IL,32.3286181,34.8566246
300,Juventus F.C.,/wiki/Juventus_F.C.,Italy,110,Juventus,Turin,IT,45.0677551,7.6824892
302,Atalanta B.C.,/wiki/Atalanta_B.C.,Italy,96,Atalanta BC,Bergamo,IT,45.6944947,9.6698727
303,S.S. Lazio,/wiki/S.S._Lazio,Italy,111,SS Lazio,Rome,IT,41.8933203,12.4829321
304,A.S. Roma,/wiki/A.S._Roma,Italy,123,AS Roma,Rome,IT,41.8933203,12.4829321
305,A.C. Milan,/wiki/A.C._Milan,Italy,115,AC Milan,Milano,IT,45.4641943,9.1896346
306,S.S.C. Napoli,/wiki/S.S.C._Napoli,Italy,746,SSC Napoli,Napoli,IT,40.8358846,14.2487679
307,U.S. Sassuolo Calcio,/wiki/U.S._Sassuolo_Calcio,Italy,95,Ascoli Calcio,Ascoli Piceno,IT,42.8546185,13.5755038
308,Hellas Verona F.C.,/wiki/Hellas_Verona_F.C.,Italy,133,Hellas Verona,Verona,IT,45.4384958,10.9924122
309,ACF Fiorentina,/wiki/ACF_Fiorentina,Italy,107,ACF Fiorentina,Firenze,IT,43.7698712,11.2555757
310,Udinese Calcio,/wiki/Udinese_Calcio,Italy,131,Udinese Calcio,Udine,IT,46.0634632,13.2358377
311,Cagliari Calcio,/wiki/Cagliari_Calcio,Italy,100,Cagliari,Cagliari,IT,39.2171994,9.113311
312,U.C. Sampdoria,/wiki/U.C._Sampdoria,Italy,125,Sampdoria,Genoa,IT,44.40726,8.9338624
313,Torino F.C.,/wiki/Torino_F.C.,Italy,128,Torino,Torino,IT,45.0677551,7.6824892
314,Genoa C.F.C.,/wiki/Genoa_C.F.C.,Italy,108,Genoa CFC,Genoa,IT,44.40726,8.9338624
315,U.S. Lecce,/wiki/U.S._Lecce,Italy,112,US Lecce,Lecce,IT,40.3570373,18.1718482
316,Brescia Calcio,/wiki/Brescia_Calcio,Italy,99,Brescia Calcio,Brescia,IT,45.5398022,10.2200214
317,S.P.A.L.,/wiki/S.P.A.L.,Italy,278,Newell’s Old Boys,Rosario,IT,39.2910302,16.2336818
318,FC Astana,/wiki/FC_Astana,Kazakhstan,1508,FC Astana,Astana,KZ,51.1282205,71.4306682
319,FC Kairat,/wiki/FC_Kairat,Kazakhstan,2095,FC Kairat Almaty,Almaty,KZ,43.2363924,76.9457275
320,FC Ordabasy,/wiki/FC_Ordabasy,Kazakhstan,1987,FC Ordabasy,Shymkent,KZ,42.3146962,69.5883282
321,FC Tobol,/wiki/FC_Tobol,Kazakhstan,1786,FK Tobol,Kostanay,KZ,53.2146604,63.632607
322,FC Zhetysu,/wiki/FC_Zhetysu,Kazakhstan,1705,FC Zhetysu,Taldykorgan,KZ,45.0164138,78.3791841
323,FC Kaisar,/wiki/FC_Kaisar,Kazakhstan,2192,FC Kaisar,Kyzylorda,KZ,44.8426778,65.5036151
326,FC Shakhter Karagandy,/wiki/FC_Shakhter_Karagandy,Kazakhstan,1914,Shakhter Karagandy,Karagandy,KZ,49.8161282,73.1026622
327,FC Taraz,/wiki/FC_Taraz,Kazakhstan,2019,FC Taraz,Taraz,KZ,42.9015945,71.3769302
328,FC Atyrau,/wiki/FC_Atyrau,Kazakhstan,1749,FC Atyrau,Atyrau,KZ,47.1067183,51.9138976
329,FC Aktobe,/wiki/FC_Aktobe,Kazakhstan,1708,FK Aktobe,Aktobe,KZ,50.2836268,57.2298651
